id_producto,codigo_producto,nombre_producto,id_categoria,unidad_compra,unidad_base,contenido_unidad_base,precio_referencia_unitario,precio_referencia_por_unidad_base,moneda,id_fuente_precio,fecha_precio_referencia,vida_util_dias,rotacion_base_semanal,criticidad_producto,activo,observacion
1,ALI-ARROZ-5KG,Arroz bolsa 5 kg,1,bolsa,kg,5.0,18.5,3.7,PEN,SRC_REFERENCIAL_ALDIMI_2026_V5,2026-07-03,365,11,5,1,"Despensa base para complementar menús; no reemplaza proteínas, frutas ni verduras."
2,ALI-FIDEO-500G,Fideo 500 g,1,paquete,kg,0.5,3.2,6.4,PEN,SRC_REFERENCIAL_ALDIMI_2026_V5,2026-07-03,365,13,4,1,"Despensa base para complementar menús; no reemplaza proteínas, frutas ni verduras."
3,ALI-LENTEJA-500G,Lenteja 500 g,1,bolsa,kg,0.5,4.7,9.4,PEN,SRC_REFERENCIAL_ALDIMI_2026_V5,2026-07-03,365,10,5,1,"Despensa base para complementar menús; no reemplaza proteínas, frutas ni verduras."
4,ALI-FREJOL-500G,Frejol 500 g,1,bolsa,kg,0.5,5.2,10.4,PEN,SRC_REFERENCIAL_ALDIMI_2026_V5,2026-07-03,365,7,4,1,"Despensa base para complementar menús; no reemplaza proteínas, frutas ni verduras."
5,ALI-QUINUA-500G,Quinua 500 g,1,bolsa,kg,0.5,8.5,17.0,PEN,SRC_REFERENCIAL_ALDIMI_2026_V5,2026-07-03,365,8,5,1,"Despensa base para complementar menús; no reemplaza proteínas, frutas ni verduras."
6,ALI-ACEITE-900ML,Aceite vegetal 900 ml,1,botella,L,0.9,6.8,7.5556,PEN,SRC_REFERENCIAL_ALDIMI_2026_V5,2026-07-03,365,7,5,1,"Despensa base para complementar menús; no reemplaza proteínas, frutas ni verduras."
7,ALI-ATUN-170G,Conserva de atún 170 g,1,lata,und,1.0,5.8,5.8,PEN,SRC_REFERENCIAL_ALDIMI_2026_V5,2026-07-03,730,7,3,1,"Despensa base para complementar menús; no reemplaza proteínas, frutas ni verduras."
8,ALI-PAPA-1KG,Papa blanca 1 kg,1,kg,kg,1.0,3.2,3.2,PEN,SRC_REFERENCIAL_ALDIMI_2026_V5,2026-07-03,45,15,4,1,"Despensa base para complementar menús; no reemplaza proteínas, frutas ni verduras."
9,ALI-CAMOTE-1KG,Camote 1 kg,1,kg,kg,1.0,3.5,3.5,PEN,SRC_REFERENCIAL_ALDIMI_2026_V5,2026-07-03,30,10,4,1,"Despensa base para complementar menús; no reemplaza proteínas, frutas ni verduras."
10,PRO-POLLO-ENTERO-KG,Pollo entero fresco x kg,2,kg,kg,1.0,9.9,9.9,PEN,SRC_REFERENCIAL_ALDIMI_2026_V5,2026-07-03,5,15,5,1,Alimento priorizado por aporte de proteína y hierro; precio referencial editable según cotización real.
11,PRO-PECHUGA-KG,Pechuga de pollo x kg,2,kg,kg,1.0,12.5,12.5,PEN,SRC_REFERENCIAL_ALDIMI_2026_V5,2026-07-03,5,8,5,1,Alimento priorizado por aporte de proteína y hierro; precio referencial editable según cotización real.
12,PRO-PESCADO-KG,Filete de pescado congelado x kg,2,kg,kg,1.0,16.9,16.9,PEN,SRC_REFERENCIAL_ALDIMI_2026_V5,2026-07-03,60,7,5,1,Alimento priorizado por aporte de proteína y hierro; precio referencial editable según cotización real.
13,PRO-HUEVOS-15UND,Huevos bandeja 15 und,2,bandeja,und,15.0,11.0,0.7333,PEN,SRC_REFERENCIAL_ALDIMI_2026_V5,2026-07-03,21,12,5,1,Alimento priorizado por aporte de proteína y hierro; precio referencial editable según cotización real.
14,PRO-HIGADO-500G,Hígado de pollo 500 g,2,paquete,kg,0.5,4.5,9.0,PEN,SRC_REFERENCIAL_ALDIMI_2026_V5,2026-07-03,4,5,4,1,Alimento priorizado por aporte de proteína y hierro; precio referencial editable según cotización real.
15,FRU-PLATANO-KG,Plátano de seda x kg,3,kg,kg,1.0,4.5,4.5,PEN,SRC_REFERENCIAL_ALDIMI_2026_V5,2026-07-03,7,16,4,1,"Alimento fresco para mejorar variedad, fibra y micronutrientes; comprar semanalmente por vida útil corta."
16,FRU-NARANJA-KG,Naranja de mesa x kg,3,kg,kg,1.0,3.8,3.8,PEN,SRC_REFERENCIAL_ALDIMI_2026_V5,2026-07-03,10,14,4,1,"Alimento fresco para mejorar variedad, fibra y micronutrientes; comprar semanalmente por vida útil corta."
17,FRU-MANZANA-KG,Manzana de mesa x kg,3,kg,kg,1.0,6.5,6.5,PEN,SRC_REFERENCIAL_ALDIMI_2026_V5,2026-07-03,14,8,3,1,"Alimento fresco para mejorar variedad, fibra y micronutrientes; comprar semanalmente por vida útil corta."
18,VER-ZANAHORIA-KG,Zanahoria x kg,3,kg,kg,1.0,3.3,3.3,PEN,SRC_REFERENCIAL_ALDIMI_2026_V5,2026-07-03,14,10,4,1,"Alimento fresco para mejorar variedad, fibra y micronutrientes; comprar semanalmente por vida útil corta."
19,VER-ESPINACA-ATADO,Espinaca atado,3,atado,und,1.0,3.5,3.5,PEN,SRC_REFERENCIAL_ALDIMI_2026_V5,2026-07-03,4,8,4,1,"Alimento fresco para mejorar variedad, fibra y micronutrientes; comprar semanalmente por vida útil corta."
20,VER-BROCOLI-KG,Brócoli x kg,3,kg,kg,1.0,6.5,6.5,PEN,SRC_REFERENCIAL_ALDIMI_2026_V5,2026-07-03,7,6,3,1,"Alimento fresco para mejorar variedad, fibra y micronutrientes; comprar semanalmente por vida útil corta."
21,DES-AVENA-900G,Avena 900 g,4,bolsa,kg,0.9,8.2,9.1111,PEN,SRC_REFERENCIAL_ALDIMI_2026_V5,2026-07-03,240,12,5,1,Apoyo de desayuno y recuperación nutricional; precio referencial editable.
22,DES-LECHE-6UND,Leche evaporada sixpack,4,sixpack,und,6.0,24.5,4.0833,PEN,SRC_REFERENCIAL_ALDIMI_2026_V5,2026-07-03,180,10,5,1,Apoyo de desayuno y recuperación nutricional; precio referencial editable.
23,DES-YOGURT-1L,Yogurt natural 1 L,4,botella,L,1.0,7.5,7.5,PEN,SRC_REFERENCIAL_ALDIMI_2026_V5,2026-07-03,21,8,4,1,Apoyo de desayuno y recuperación nutricional; precio referencial editable.
24,DES-MAZAMORRA-500G,Harina fortificada/mazamorra 500 g,4,bolsa,kg,0.5,5.5,11.0,PEN,SRC_REFERENCIAL_ALDIMI_2026_V5,2026-07-03,365,9,4,1,Apoyo de desayuno y recuperación nutricional; precio referencial editable.
25,HIG-PAPEL-4R,Papel higiénico paquete 4 rollos,5,paquete,rollo,4.0,8.5,2.125,PEN,SRC_REFERENCIAL_ALDIMI_2026_V5,2026-07-03,730,12,4,1,Producto no alimentario esencial; mantener control de stock y reposición.
26,HIG-JABON-90G,Jabón de tocador 90 g,5,unidad,und,1.0,3.0,3.0,PEN,SRC_REFERENCIAL_ALDIMI_2026_V5,2026-07-03,730,16,4,1,Producto no alimentario esencial; mantener control de stock y reposición.
27,HIG-PASTA-90G,Pasta dental 90 g,5,unidad,und,1.0,7.0,7.0,PEN,SRC_REFERENCIAL_ALDIMI_2026_V5,2026-07-03,730,7,3,1,Producto no alimentario esencial; mantener control de stock y reposición.
28,HIG-SHAMPOO-400ML,Shampoo familiar 400 ml,5,frasco,L,0.4,10.5,26.25,PEN,SRC_REFERENCIAL_ALDIMI_2026_V5,2026-07-03,730,6,2,1,Producto no alimentario esencial; mantener control de stock y reposición.
29,HIG-TOALLAS-50UND,Toallas húmedas paquete 50 und,5,paquete,und,50.0,8.0,0.16,PEN,SRC_REFERENCIAL_ALDIMI_2026_V5,2026-07-03,730,6,3,1,Producto no alimentario esencial; mantener control de stock y reposición.
30,INF-PANAL-PACK,Pañales paquete mediano,8,paquete,und,40.0,52.0,1.3,PEN,SRC_REFERENCIAL_ALDIMI_2026_V5,2026-07-03,730,5,5,1,Producto no alimentario esencial; mantener control de stock y reposición.
31,LIM-LEJIA-1L,Lejía 1 L,6,botella,L,1.0,4.0,4.0,PEN,SRC_REFERENCIAL_ALDIMI_2026_V5,2026-07-03,730,7,4,1,Producto no alimentario esencial; mantener control de stock y reposición.
32,LIM-DETERG-800G,Detergente 800 g,6,bolsa,kg,0.8,6.5,8.125,PEN,SRC_REFERENCIAL_ALDIMI_2026_V5,2026-07-03,730,8,4,1,Producto no alimentario esencial; mantener control de stock y reposición.
33,LIM-LAVAVAJ-450G,Lavavajilla 450 g,6,pote,kg,0.45,6.0,13.3333,PEN,SRC_REFERENCIAL_ALDIMI_2026_V5,2026-07-03,730,5,3,1,Producto no alimentario esencial; mantener control de stock y reposición.
34,LIM-BOLSAS-10UND,Bolsas de basura paquete 10 und,6,paquete,und,10.0,5.5,0.55,PEN,SRC_REFERENCIAL_ALDIMI_2026_V5,2026-07-03,730,5,3,1,Producto no alimentario esencial; mantener control de stock y reposición.
35,SAL-ALCOHOLGEL-400ML,Alcohol gel 400 ml,7,frasco,L,0.4,10.0,25.0,PEN,SRC_REFERENCIAL_ALDIMI_2026_V5,2026-07-03,730,4,4,1,Producto no alimentario esencial; mantener control de stock y reposición.
